subject_id,candidate,role,score,negative_training_score,margin
CLIENT-MOUSE-0034,C_mean_unknown_full_field,exploratory_held_out_positive,0.5506601217780075,0.3947740125798901,0.1558861091981174
CLIENT-MOUSE-0035,C_mean_unknown_full_field,exploratory_held_out_positive,0.7724182092996404,0.38177012962900075,0.3906480796706397
CLIENT-MOUSE-0036,C_mean_unknown_full_field,exploratory_held_out_positive,0.5670870098344121,0.39731953348455024,0.16976747634986183
CLIENT-MOUSE-0037,C_mean_unknown_full_field,exploratory_held_out_positive,0.598008987740313,0.40028954543198014,0.19771944230833283
CLIENT-MOUSE-0038,C_mean_unknown_full_field,all_subject_fit_negative_NOT_TEST,0.3910211240017602,,
CLIENT-MOUSE-0030,C_max_unknown_full_field,exploratory_held_out_positive,0.49034501656717855,0.49991095936482555,-0.009565942797646998
CLIENT-MOUSE-0031,C_max_unknown_full_field,exploratory_held_out_positive,0.4991647166283976,0.4981462956872887,0.0010184209411089329
CLIENT-MOUSE-0032,C_max_unknown_full_field,exploratory_held_out_positive,0.4751910937063963,0.4951744702930687,-0.01998337658667243
CLIENT-MOUSE-0033,C_max_unknown_full_field,exploratory_held_out_positive,0.5050399205822643,0.4990380027697156,0.006001917812548718
CLIENT-MOUSE-0034,C_max_unknown_full_field,exploratory_held_out_positive,0.5054537967670166,0.4991163165133494,0.006337480253667205
CLIENT-MOUSE-0035,C_max_unknown_full_field,exploratory_held_out_positive,0.5068740884488853,0.4994749265052406,0.00739916194364465
CLIENT-MOUSE-0036,C_max_unknown_full_field,exploratory_held_out_positive,0.4731927130656014,0.49493752275806435,-0.021744809692462952
CLIENT-MOUSE-0037,C_max_unknown_full_field,exploratory_held_out_positive,0.4738231389865025,0.4950121971887415,-0.021189058202238986
CLIENT-MOUSE-0038,C_max_unknown_full_field,all_subject_fit_negative_NOT_TEST,0.4982711242858538,,
CLIENT-MOUSE-0030,C_top3_unknown_full_field,exploratory_held_out_positive,0.41013461424151054,0.4883601991683995,-0.07822558492688897
CLIENT-MOUSE-0031,C_top3_unknown_full_field,exploratory_held_out_positive,0.48440412699520935,0.49670941568721777,-0.01230528869200842
CLIENT-MOUSE-0032,C_top3_unknown_full_field,exploratory_held_out_positive,0.4979493879109051,0.4999916713630912,-0.0020422834521861
CLIENT-MOUSE-0033,C_top3_unknown_full_field,exploratory_held_out_positive,0.4963793116794118,0.49815457615435244,-0.001775264474940641
CLIENT-MOUSE-0034,C_top3_unknown_full_field,exploratory_held_out_positive,0.5053356941076661,0.4996145695698213,0.005721124537844791
CLIENT-MOUSE-0035,C_top3_unknown_full_field,exploratory_held_out_positive,0.4953529114124849,0.4980245759600638,-0.002671664547578889
CLIENT-MOUSE-0036,C_top3_unknown_full_field,exploratory_held_out_positive,0.5053082218148082,0.49959913237141934,0.005709089443388826
CLIENT-MOUSE-0037,C_top3_unknown_full_field,exploratory_held_out_positive,0.5051455159898506,0.4995318964834714,0.005613619506379175
CLIENT-MOUSE-0038,C_top3_unknown_full_field,all_subject_fit_negative_NOT_TEST,0.4986410640204538,,
