subject_id,support_arm,candidate_count,support_fraction,analyzed_support_fraction,physical_q90,physical_median,hue_js_q90,abs_saturation_delta_q90,abs_value_delta_q90,dino_distance_q90,physical_mean,physical_max,physical_top3_nonoverlap_mean
CLIENT-MOUSE-0030,conservative_chromatic,0,0.021145567602040817,0.0,,,,,,,,,
CLIENT-MOUSE-0030,unknown_full_field,79,0.75,0.26360544217687076,0.2735356233740177,0.05756879263707543,0.2572928407568704,0.13803921568627447,0.3400000000000003,,0.10064038367654275,0.5062779398034066,0.4417669713971389
CLIENT-MOUSE-0031,conservative_chromatic,0,0.057537468112244895,0.0,,,,,,,,,
CLIENT-MOUSE-0031,unknown_full_field,170,0.75,0.41836734693877553,0.2925602958489128,0.0907453323086693,0.3982921908874438,0.03999999999999998,0.4127450980392154,,0.1282937787260036,0.4094675078860141,0.40717094896182776
CLIENT-MOUSE-0032,conservative_chromatic,0,0.06911670918367346,0.0,,,,,,,,,
CLIENT-MOUSE-0032,unknown_full_field,93,0.75,0.2687074829931973,0.19811346831353133,0.07256572277321972,0.21516873642209355,0.2588235294117647,0.12078431372549014,0.05512966760223563,0.10117594346419537,0.3678202096588796,0.32630951634002686
CLIENT-MOUSE-0033,conservative_chromatic,0,0.11874202806122448,0.0,,,,,,,,,
CLIENT-MOUSE-0033,unknown_full_field,178,0.75,0.4064625850340136,0.26963921130236224,0.06895093644567735,0.23994930905943895,0.2980392156862745,0.2549019607843137,0.12713366520439076,0.10562928012523465,0.43357239280307924,0.39012132578632847
CLIENT-MOUSE-0034,conservative_chromatic,7,0.08344626913265306,0.2139957009792214,0.07416004049734362,0.06137628676910162,0.08985079466518747,0.1254901960784314,0.046274509803921574,,0.05986245010048846,0.08718956782988774,0.07633162838610097
CLIENT-MOUSE-0034,unknown_full_field,114,0.75,0.2687074829931973,0.22170617590953232,0.07723053228047158,0.26811071130363984,0.16411764705882353,0.13568627450980406,0.16615066298792638,0.10400690628211338,0.4362653582344427,0.3565067562927408
CLIENT-MOUSE-0035,conservative_chromatic,1,0.07051179846938775,0.07235726399095534,0.1607120725257896,0.1607120725257896,0.13304276628533088,0.27058823529411763,0.019607843137254943,,0.1607120725257896,0.1607120725257896,0.1607120725257896
CLIENT-MOUSE-0035,unknown_full_field,130,0.75,0.3826530612244898,0.2725098785124695,0.1048241253567486,0.3871580334323759,0.19647058823529417,0.20254901960784313,0.21575488247256197,0.1313012386481267,0.4505843577287419,0.39204974445074087
CLIENT-MOUSE-0036,conservative_chromatic,2,0.1028579400510204,0.06335981398953691,0.094457048122593,0.08033945790294646,0.14884898561449653,0.0415686274509804,0.027058823529411767,,0.08033945790294646,0.09798644567750463,0.09798644567750463
CLIENT-MOUSE-0036,unknown_full_field,207,0.75,0.4387755102040816,0.25502292085696154,0.07449700965609035,0.29934053961833823,0.08235294117647057,0.3325490196078435,0.16908408725937038,0.10656002470709387,0.36573668778880225,0.35708776112464063
CLIENT-MOUSE-0037,conservative_chromatic,11,0.10341597576530612,0.246675660050106,0.1253011945740504,0.10145260064047834,0.08752214385068488,0.2137254901960784,0.05490196078431375,,0.09694431940778024,0.13060756525156206,0.1160300829460202
CLIENT-MOUSE-0037,unknown_full_field,176,0.75,0.4200680272108844,0.2548345899188995,0.08410419551066531,0.3658857763643687,0.13725490196078433,0.2019607843137255,0.21793225340011665,0.11135907890464238,0.36638105562467344,0.35950213833792954
CLIENT-MOUSE-0038,conservative_chromatic,0,0.04876833545918367,0.0,,,,,,,,,
CLIENT-MOUSE-0038,unknown_full_field,136,0.75,0.39625850340136054,0.29906581845164626,0.03879536264260295,0.3006454076675251,0.06666666666666668,0.3980392156862745,,0.07942448922064249,0.40607400612430594,0.38584311732654525
