plate_id,reference_anomaly_score_0_1,embedding_norm,nearest_neighbors_json,clinical_probability,status,heuristic_morphology_v0
LCT-Z0-022,0.211951,26.954146,"[{""plate_id"": ""LCT-Z0-024"", ""cosine_distance"": 0.0518}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.117}, {""plate_id"": ""LCT-Z0-019"", ""cosine_distance"": 0.1263}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.2494}, {""plate_id"": ""LCT-Z0-017"", ""cosine_distance"": 0.4094}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-019,0.196207,27.146781,"[{""plate_id"": ""LCT-Z0-024"", ""cosine_distance"": 0.083}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.1023}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.1263}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.3315}, {""plate_id"": ""LCT-Z0-017"", ""cosine_distance"": 0.5141}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-014,0.192555,26.7892,"[{""plate_id"": ""LCT-Z0-016"", ""cosine_distance"": 0.1343}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.1668}, {""plate_id"": ""LCT-Z0-011"", ""cosine_distance"": 0.2176}, {""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.2254}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.2475}]",,REFERENCE_ONLY_NOT_CLINICAL,branched/complex
LCT-Z0-023,0.190921,21.71263,"[{""plate_id"": ""LCT-Z0-024"", ""cosine_distance"": 0.2198}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.2494}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.2902}, {""plate_id"": ""LCT-Z0-019"", ""cosine_distance"": 0.3315}, {""plate_id"": ""LCT-Z0-017"", ""cosine_distance"": 0.4023}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-024,0.180748,24.482786,"[{""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.0518}, {""plate_id"": ""LCT-Z0-019"", ""cosine_distance"": 0.083}, {""plate_id"": ""LCT-Z0-018"", ""cosine_distance"": 0.0957}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.2198}, {""plate_id"": ""LCT-Z0-017"", ""cosine_distance"": 0.5115}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-004,0.151304,20.441363,"[{""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.4294}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.5163}, {""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.5235}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.5243}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.6476}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-010,0.105527,20.665133,"[{""plate_id"": ""LCT-Z0-009"", ""cosine_distance"": 0.357}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.3697}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.4393}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.4411}, {""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.4518}]",,REFERENCE_ONLY_NOT_CLINICAL,branched/complex
LCT-Z0-016,0.105307,22.42192,"[{""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.1343}, {""plate_id"": ""LCT-Z0-011"", ""cosine_distance"": 0.2475}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.2617}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.3289}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.3578}]",,REFERENCE_ONLY_NOT_CLINICAL,branched/complex
LCT-Z0-018,0.079638,21.168751,"[{""plate_id"": ""LCT-Z0-024"", ""cosine_distance"": 0.0957}, {""plate_id"": ""LCT-Z0-019"", ""cosine_distance"": 0.1023}, {""plate_id"": ""LCT-Z0-022"", ""cosine_distance"": 0.117}, {""plate_id"": ""LCT-Z0-023"", ""cosine_distance"": 0.2902}, {""plate_id"": ""LCT-Z0-026"", ""cosine_distance"": 0.3686}]",,REFERENCE_ONLY_NOT_CLINICAL,diffuse/large-region
LCT-Z0-008,0.066345,25.782322,"[{""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.0474}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.0587}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.0746}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.0974}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.2825}]",,REFERENCE_ONLY_NOT_CLINICAL,minimal-response
LCT-Z0-007,0.05552,26.835333,"[{""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.0108}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.0236}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.0471}, {""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.0474}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.2254}]",,REFERENCE_ONLY_NOT_CLINICAL,minimal-response
LCT-Z0-005,0.027868,25.120003,"[{""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.0108}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.0217}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.049}, {""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.0746}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.2475}]",,REFERENCE_ONLY_NOT_CLINICAL,minimal-response
LCT-Z0-001,0.00565,21.03077,"[{""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.0471}, {""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.049}, {""plate_id"": ""LCT-Z0-002"", ""cosine_distance"": 0.0669}, {""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.0974}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.3085}]",,REFERENCE_ONLY_NOT_CLINICAL,scattered
LCT-Z0-002,0.0,23.829795,"[{""plate_id"": ""LCT-Z0-005"", ""cosine_distance"": 0.0217}, {""plate_id"": ""LCT-Z0-007"", ""cosine_distance"": 0.0236}, {""plate_id"": ""LCT-Z0-008"", ""cosine_distance"": 0.0587}, {""plate_id"": ""LCT-Z0-001"", ""cosine_distance"": 0.0669}, {""plate_id"": ""LCT-Z0-014"", ""cosine_distance"": 0.1668}]",,REFERENCE_ONLY_NOT_CLINICAL,scattered
